Var1,source_id,ra,dec,phot_g_mean_flux,phot_g_mean_mag
12403,650159265042048,46.1587257270769,1.8636040728799,93665264.8463054,5.7584205
23095,1.19555139224794e+15,43.8815498711285,2.01821702383353,43583134.8705524,6.589071
24115,1.24915258429978e+15,43.4090887894296,1.96864733256014,48955630.1080434,6.46286
27680,1.43524492700787e+15,42.8348369731173,2.17270025631461,66391540.781822,6.132085
39961,2.05873673943027e+15,43.7841642450151,3.4868137042116,34097948.4573993,6.8555465
70980,3.6655011846711e+15,45.5938989940887,4.35291423415736,108285562.570967,5.6009407
85399,4.42584783508326e+15,48.1098117597432,6.66088234242462,166411332.660609,5.1344094
100957,5.2280790064119e+15,44.269135766585,4.50112552522861,183787603.665656,5.0265765
113220,5.85033386850125e+15,41.3374216958414,4.7114504498852,76376548.8505799,5.9799666
114510,5.92207700198618e+15,40.3400909553719,4.42753920910532,31260545.9119238,6.9498754
130877,6.80391968730253e+15,45.4680723096141,5.33621919395744,78582317.9011984,5.9490547
134135,6.96376119019942e+15,45.9627666464047,6.13352285231771,36134370.3116076,6.792566
135146,7.01220842129651e+15,45.8673199286075,6.22644012332725,41698839.8876714,6.637057
137536,7.13786198450714e+15,44.0174600288259,6.17502057750797,30625318.6037154,6.972165
146228,7.59762964359194e+15,47.1161362724289,7.64293037590069,30835703.601358,6.964732
168218,8.81011609102221e+15,44.0576618169729,8.38116469976781,85231382.0554826,5.860868
169825,8.90082580031002e+15,44.9287566220772,8.9073130662318,256751256.959049,4.663585
175514,9.192093302608e+15,51.8831789055153,5.87025118772864,36358142.7370731,6.7858624
196502,1.02459408380168e+16,49.2877496229589,6.79975994691699,31999862.687885,6.9244967
214686,1.11664382293087e+16,51.2030275843993,9.02853889352193,835597662.882897,3.3823738
238893,1.22883524071927e+16,55.383761731655,10.0816785605053,33502597.7317415,6.8746705
244982,1.25616154055062e+16,53.1499005114489,9.37323648849699,94871673.5280777,5.7445254
248666,1.27309745561321e+16,51.7925714099467,9.73255014715388,622608454.899404,3.7018294
259989,1.32479855391103e+16,52.6099055338088,10.4586798908069,48564528.532182,6.471569
264707,1.34718048747602e+16,53.0498804556112,11.5422212807002,36532467.1092455,6.780669
272191,1.38987933433181e+16,47.161619603691,8.47140235195367,75050132.3633215,5.998988
298365,1.52307142415171e+16,47.7049738897955,10.005953754503,64490721.7257095,6.163624
308577,1.57596136942437e+16,47.6617888761848,11.8725156880368,78173896.6266694,5.9547124
319591,1.63701862450176e+16,52.601893795678,11.3363663125124,169319836.563422,5.1155972
319891,1.63833460247922e+16,52.1513579449333,11.3903611110662,48002841.1153056,6.4841995
329480,1.68350735051561e+16,51.8278600217224,12.7352501551198,57412603.2495441,6.289849
341405,1.7501068313867e+16,51.0423121410184,12.6295017306749,109027249.81912,5.593529
348269,1.78417794796937e+16,49.9666814002387,13.3770254983118,34770322.048917,6.834345
354187,1.81189251290525e+16,38.9685186847425,5.5931413103652,262359386.431945,4.6401253
355932,1.82155447134437e+16,40.28261918955,6.07230959857645,59315551.1020984,6.2544456
356803,1.8262823713408e+16,40.0656026621323,6.11194464553066,65016110.114667,6.1548142
361604,1.85121036153076e+16,39.0112516493577,6.43225500298024,31361524.9717145,6.946374
376438,1.93162245724604e+16,39.0283845065783,6.89333910757853,119019716.797781,5.4983196
377942,1.94003028521961e+16,38.7671973025771,7.47046936870262,82900477.3683201,5.8909745
384543,1.97572275187594e+16,39.5035183130499,7.69508996735922,57275239.7460991,6.2924495
385030,1.97839980504978e+16,39.1458681412126,7.72994189783767,115428284.618881,5.531586
387333,1.99104762475532e+16,40.3488632808599,8.52697799029408,35542188.7617006,6.8105063
406516,2.09591354624064e+16,43.4428439761379,9.33571830914549,206643643.576931,4.8993115
422828,2.18596698453275e+16,41.236830226139,10.1139617199791,410628255.10352,4.1537447
424350,2.19438168445299e+16,40.5002741548382,10.5446894624907,65022046.8472195,6.154715
439530,2.27459105771348e+16,37.0399300386071,8.46004005983054,373941543.330553,4.2553577
447417,2.3174273435297e+16,37.3969370362182,9.00639751072545,33244037.2866336,6.8830824
452052,2.34201517230592e+16,37.397324849783,9.56563585444291,87344482.1144935,5.834278
460004,2.38510228422287e+16,36.127411642223,9.71293420672051,41475729.899922,6.642882
467669,2.42626525083475e+16,36.8461298144211,10.1974215269212,55113190.5615502,6.334228
468399,2.43023036460216e+16,36.0433856759394,10.2723865302655,37841210.8585115,6.7424545
468918,2.43289968671885e+16,36.6903655060765,10.5652382941027,41579975.2447255,6.6401563
472571,2.45252639882762e+16,36.2045016729295,10.6104918866309,123504656.423709,5.4581585
480941,2.49554479126166e+16,40.6204513834028,10.7416239833822,56923084.0774205,6.2991457
481467,2.49842757330674e+16,39.7646194960998,10.6367197050163,52351680.3871316,6.3900404
497271,2.57925542185353e+16,41.2404788346391,12.4453723940554,168505563.729337,5.1208315
502217,2.60426587540474e+16,38.6082525224097,11.604690365753,30518566.9351234,6.9759564
510853,2.64848342271849e+16,39.1592675482529,12.44725109115,119723567.360127,5.4919176
523476,2.71127240860118e+16,44.6003246600648,10.2052472501106,35687191.9454112,6.806086
526272,2.72573442248634e+16,45.1842821983337,10.8702441952459,154213024.267369,5.2170644
