Var1,source_id,ra,dec,phot_g_mean_flux,phot_g_mean_mag
121,7632157690368,45.0343428346962,0.235389599516041,11153877.1660947,8.068802
155,9281425163264,45.1650090450511,0.200052603940264,1041815.65098878,10.64289
210,13301514552192,45.0861556170006,0.248824917929484,910180.424108996,10.789548
265,15741055975040,45.1360379741948,0.335043095601686,1490567.87481682,10.253987
278,16531329957376,45.1413631091719,0.359598094469785,1825701.30256794,10.0337925
279,16733192740608,45.1529653377549,0.386342115087285,2017685.0349652,9.925234
282,16870631694208,45.1127784268116,0.38084007494447,1054331.10619021,10.629925
500,26834955821312,45.0102765770156,0.351101284733912,1852552.74228499,10.0179405
571,30343944744320,45.0949915100463,0.476836131135355,2067028.69661881,9.899
628,33264522507136,44.9746621197533,0.473465223343186,2089188.90702383,9.887423
819,44358422235136,45.5014538611302,0.497697203748596,3378170.3320315,9.365663
1190,64531884461952,45.4909059835924,0.741372206319953,1988671.62122232,9.940959
1227,66627828480768,45.3050529676681,0.736093451015888,1178767.1271231,10.508797
1347,72915660589952,44.7026477337116,0.40269819741381,2178291.48343592,9.842077
1397,75458281197696,44.6194916349327,0.437253028931813,5827786.88071947,8.773607
1527,82467667849472,44.8662456597925,0.561503016077604,1033659.88715454,10.6514225
1539,83154862613888,44.9373156505307,0.623793277015685,2870446.08774441,9.542494
1596,86105504493056,44.7971515640936,0.630663310646299,1405909.47030356,10.317473
1605,86693915665280,44.8564841401232,0.680232909106402,2126561.03120167,9.868173
1705,92603790642688,44.4150031863274,0.56790054435485,2026251.61080934,9.920633
2140,115727894578176,45.1056108717026,0.81232114336036,835717.306346296,10.882218
2230,120190364960512,45.0079941706155,0.888562158579938,3542784.62441766,9.314005
2279,122737281195008,45.1960049962357,0.993298230806739,5621275.6507322,8.812779
2465,132667245587072,45.0727955724553,0.969970782487376,19272078.3884449,7.4750457
2781,148953761446272,45.656685517249,0.848682593928197,2359850.19347611,9.755156
3152,170256799204736,45.8133365498058,1.04983976566503,2836432.03729034,9.555436
3337,180045029052928,46.1233862973687,1.06635490678949,1459936.82857253,10.276532
3356,180736519432320,45.964600835122,1.0195620382563,13066945.5658095,7.8969316
3736,200596448177152,45.8640937690672,1.25010253024862,2557630.62747227,9.667772
4133,219563023736832,45.3564468302073,1.15617356007846,21729938.0867618,7.344721
4585,244198956139648,45.3546720428435,1.36870554899721,1086144.57660382,10.597648
4686,250246270117248,45.7943445506714,1.36809155463067,20486654.5755157,7.408689
4886,261756782464128,45.8712788460094,1.51224348241767,5119656.3795422,8.914265
5738,308623465731200,44.3482990831926,0.971618334924375,1143721.10636151,10.541567
5779,310341452648320,44.3559878839355,0.998104090493283,1018156.49879328,10.66783
5963,320718093802368,44.7453690130327,1.07739501539832,1808271.11970832,10.044208
6188,332469124171904,44.8198870173868,1.24455388354504,6640722.42405478,8.631828
6479,347072012975872,44.7708871352693,1.37269227332307,2405665.93933371,9.734279
6508,349374115419136,44.5333278993229,1.37114804383155,2931465.11119071,9.519655
7170,384317969303168,43.8671370163826,1.35563931065696,13190001.7166948,7.8867545
7221,386963669172224,43.929887393545,1.4762296540833,1112761.07126691,10.5713625
7608,407785670617600,44.2634464035333,1.50159246035817,2373194.23449899,9.749034
8014,429531089342464,45.0848622642959,1.41700784237271,1628183.44755142,10.158109
8015,429535384479232,45.0849379389998,1.41714703618697,1493449.63175561,10.25189
8333,445237785398912,44.7750695281778,1.51045987785265,2219068.68228016,9.82194
8445,450563544874624,44.9937841463475,1.59890753378626,904411.0263618,10.7964525
8520,454514914751488,44.8576426967328,1.65112548338845,20022058.5994813,7.433595
